Maker,Adv_year,Adv_month,Color,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,breakdown_date,repair_complexity,repair_cost,repair_hours,Label
Honda,2018,5,silver,SUV,170000,2.0L,Automatic,Petrol,1000.0,5.0,5.0,Warning Light,2018-05-22,1,190.0,9.0,0
Audi,2018,4,silver,Hatchback,5000,1.4L,Manual,Petrol,18650.0,4.0,3.0,Transmission Issue,2018-04-17,1,327.85,8.0,0
Mitsubishi,2018,8,red,Pickup,39000,2.5L,Automatic,Diesel,15599.0,5.0,4.0,Starter Motor Issue,2018-08-14,1,215.99,3.0,0
Honda,2018,3,white,SUV,36000,1.6L,Automatic,Diesel,17995.0,5.0,5.0,Sensor Malfunction,2018-03-25,1,959.75,3.0,0
Honda,2018,7,white,Hatchback,10741,1.3L,Automatic,Petrol,12450.0,5.0,5.0,Engine Issue,2018-07-05,1,2187.5,16.0,0
Audi,2018,8,blue,Hatchback,3999,3.0L,Automatic,Diesel,46230.0,5.0,5.0,Transmission Issue,2018-08-22,1,576.07,8.0,0
BMW,2018,5,grey,Saloon,6948,3.0L,Automatic,Petrol,45470.0,5.0,4.0,Warning Light,2018-05-22,1,634.7,9.0,0
BMW,2018,8,silver,Saloon,158231,3.0L,Automatic,Diesel,3490.0,5.0,4.0,Steering Wheel Shaking,2018-08-01,1,23.49,1.0,0
Audi,2018,8,grey,Saloon,93737,2.0L,Manual,Petrol,1000.0,5.0,4.0,Sensor Malfunction,2018-08-19,1,110.0,3.0,0
Land Rover,2018,3,white,SUV,3162,3.0L,Automatic,Diesel,50444.0,5.0,5.0,Flat Tyres,2018-03-12,3,75.1332,3.0,0
Proton,2018,5,silver,Hatchback,89750,1.6L,Manual,Petrol,690.0,5.0,3.0,Transmission Issue,2018-05-22,2,124.83,6.0,0
Ford,2018,7,black,Hatchback,24,1.0L,Manual,Petrol,14500.0,5.0,5.0,Alternator Failing,2018-07-01,1,330.0,2.0,0
SKODA,2018,8,maroon,Estate,92000,2.0L,Manual,Diesel,8495.0,5.0,5.0,Alternator Failing,2018-08-23,1,1129.92352633084,644.102139974237,1
Land Rover,2018,6,silver,SUV,12000,4.4L,Automatic,Diesel,58950.0,5.0,5.0,Warning Light,2018-06-10,3,1129.5,27.0,0
Ford,2018,4,blue,Hatchback,65545,1.2L,Manual,Petrol,790.0,12.0,0.0,Electrical Issue,2018-04-04,1,42.37,2.0,1
Audi,2018,4,grey,Estate,8546,3.0L,Automatic,Diesel,34825.0,5.0,5.0,Flat Tyres,2018-04-01,1,30.4475,1.0,0
Mercedes-Benz,2018,5,grey,SUV,14310,2.1L,Automatic,Diesel,30900.0,5.0,5.0,Tyre Alignment,2018-05-05,1,13.09,0.5,0
Vauxhall,2018,5,grey,MPV,62138,1.8L,Manual,Petrol,4450.0,7.0,5.0,Engine Issue,2018-05-12,1,685.0,12.0,0
Nissan,2018,7,silver,SUV,94000,1.5L,Manual,Diesel,4995.0,7.0,5.0,Electrical Issue,2018-07-13,1,44.975,1.0,0
Ford,2018,1,grey,Estate,15000,2.0L,Automatic,Diesel,17495.0,5.0,5.0,Sensor Malfunction,2018-01-04,1,934.75,3.0,0
Volkswagen,2018,5,silver,Hatchback,4012,1.0L,Manual,Petrol,16995.0,5.0,5.0,Gear Box Issue,2018-05-24,1,209.95,2.0,0
Suzuki,2018,3,white,Hatchback,13541,1.0L,Manual,Petrol,6101.0,5.0,5.0,Excessive Emissions,2018-03-18,1,25.4909,1.0,0
Ford,2018,8,silver,MPV,116000,1.8L,Manual,Petrol,1495.0,5.0,5.0,Electrical Issue,2018-08-22,1,41.495,2.0,0
Citroen,2018,4,orange,Hatchback,24971,1.6L,Manual,Diesel,11695.0,10.0,0.0,Steering Wheel Shaking,2018-04-02,2,261.753334130756,2.0,1
Volkswagen,2018,2,black,Coupe,89000,2.0L,Manual,Diesel,5490.0,4.0,3.0,Starter Motor Issue,2018-02-22,1,114.9,3.0,0
Honda,2018,6,blue,SUV,9123,1.6L,Manual,Diesel,16995.0,5.0,5.0,Engine Issue,2018-06-16,1,6012.96871830002,6340.82193976923,1
Ford,2018,6,red,Pickup,37120,2.2L,Manual,Diesel,9750.0,4.0,2.0,Alternator Failing,2018-06-05,1,235.0,2.0,0
Volvo,2018,5,black,Estate,76000,2.0L,Manual,Diesel,9499.0,5.0,5.0,Tyre Alignment,2018-05-04,3,30.9499,1.5,0
Vauxhall,2018,8,red,Hatchback,60000,1.2L,Manual,Petrol,3499.0,5.0,5.0,Electrical Issue,2018-08-27,1,63.499,3.0,0
Lexus,2018,7,blue,Saloon,98133,2.2L,Manual,Diesel,3870.0,5.0,4.0,Transmission Issue,2018-07-11,1,91.61,4.0,0
Nissan,2018,7,black,Hatchback,10600,1.2L,Manual,Petrol,6120.0,5.0,5.0,Sensor Malfunction,2018-07-16,1,1356.44676311317,3.0,1
Mazda,2018,4,gelb,SUV,49500,2.2L,Manual,Diesel,12495.0,5.0,5.0,Sensor Malfunction,2018-04-18,1,2187.81659306891,2499.94094398028,1
Volvo,2018,5,blue,Saloon,37299,2.0L,Automatic,Diesel,21900.0,5.0,4.0,Sensor Malfunction,2018-05-04,3,1275.0,9.0,0
Ford,2018,7,white,Hatchback,8321,1.2L,Manual,Petrol,9000.0,5.0,5.0,Steering Wheel Shaking,2018-07-13,1,109.422225426602,1.0,1
Toyota,2018,5,silver,Hatchback,87000,1.6L,Manual,Petrol,2990.0,5.0,5.0,Alternator Failing,2018-05-04,1,99.8,2.0,0
Hyundai,2018,5,silver,Saloon,38999,1.7L,Automatic,Diesel,10795.0,5.0,4.0,Radiator Leaking,2018-05-22,1,255.9,2.0,0
Kia,2018,1,white,SUV,7800,1.6L,Automatic,Hybrid  Petrol/Electric,22995.0,5.0,5.0,Excessive Emissions,2018-01-05,1,40.6955,1.0,0
Volvo,2018,6,silver,SUV,93060,2.4L,Automatic,Diesel,9250.0,5.0,5.0,Electrical Issue,2018-06-21,3,129.25,6.0,0
Peugeot,2018,1,gelb,SUV,45000,1.4L,Manual,Diesel,6690.0,5.0,5.0,Gear Box Issue,2018-01-10,1,514.612816980866,330.621420437495,1
Ford,2018,7,black,SUV,33376,2.0L,Manual,Diesel,12383.0,5.0,5.0,Transmission Issue,2018-07-03,1,117.149,4.0,0
Citroen,2018,4,silver,Hatchback,47000,1.6L,Automatic,Petrol,2900.0,5.0,5.0,Flat Tyres,2018-04-24,2,40.87,2.0,0
Mazda,2018,5,grey,Hatchback,99723,2.2L,Manual,Diesel,3295.0,5.0,5.0,Starter Motor Issue,2018-05-15,1,554.800538464156,286.155437171042,1
Volvo,2018,5,grey,Convertible,85000,2.5L,Automatic,Petrol,3900.0,4.0,2.0,Tyre Alignment,2018-05-26,3,30.39,1.5,0
Jaguar,2018,8,silver,Estate,52000,2.2L,Automatic,Diesel,15290.0,5.0,5.0,Flat Tyres,2018-08-01,3,64.587,3.0,0
Peugeot,2018,3,purple,Hatchback,9016,1.2L,Manual,Petrol,7000.0,4.0,5.0,Starter Motor Issue,2018-03-25,1,130.0,3.0,0
Jaguar,2018,4,silver,Saloon,38410,3.0L,Automatic,Diesel,12495.0,5.0,4.0,Warning Light,2018-04-12,3,664.95,27.0,0
Honda,2018,7,silver,Hatchback,10389,1.3L,Manual,Petrol,11950.0,5.0,5.0,Starter Motor Issue,2018-07-15,1,179.5,3.0,0
Mercedes-Benz,2018,4,white,SUV,16042,2.1L,Automatic,Diesel,23495.0,5.0,5.0,Brake Pads Worn,2018-04-11,1,51.7475,2.0,0
Audi,2018,7,black,Saloon,7379,3.0L,Automatic,Petrol,35800.0,5.0,4.0,Brake Pads Worn,2018-07-17,1,57.9,2.0,0
Vauxhall,2018,8,grey,Estate,11368,2.0L,Manual,Diesel,18995.0,5.0,5.0,Sensor Malfunction,2018-08-04,1,1009.75,3.0,0
Peugeot,2021,3,blue,Hatchback,16652,1.2L,Manual,Petrol,9150.0,5.0,5.0,Windscreen Crack,2021-03-13,1,25.49,1.0,0
Toyota,2018,5,white,Hatchback,9666,1.8L,Automatic,Hybrid  Petrol/Electric,18000.0,5.0,5.0,Alternator Failing,2018-05-23,1,400.0,2.0,0
Jeep,2018,6,white,SUV,11406,2.0L,Manual,Diesel,15750.0,5.0,5.0,Starter Motor Issue,2018-06-08,1,217.5,3.0,0
Ford,2018,5,gelb,Hatchback,42498,1.6L,Manual,Diesel,8799.0,5.0,5.0,Warning Light,2018-05-25,1,267.99,9.0,1
Renault,2017,10,white,Hatchback,89,0.9L,Manual,Petrol,11589.0,5.0,5.0,Brake Pads Worn,2017-10-25,1,45.7945,2.0,0
Audi,2018,3,gelb,SUV,13500,2.0L,Automatic,Diesel,29000.0,5.0,5.0,Windscreen Crack,2018-03-13,1,37.4,1.0,1
Vauxhall,2018,7,black,Hatchback,21600,1.4L,Manual,Petrol,6990.0,5.0,3.0,Gear Box Issue,2018-07-12,1,109.9,2.0,0
Suzuki,2018,5,red,Hatchback,29976,1.0L,Manual,Petrol,5295.0,5.0,5.0,Flat Tyres,2018-05-08,1,21.5885,1.0,0
Honda,2018,7,blue,SUV,21164,1.6L,Manual,Diesel,17495.0,5.0,5.0,Transmission Issue,2018-07-21,1,317.455,8.0,0
Mazda,2018,4,gelb,Hatchback,41750,1.3L,Manual,Petrol,3000.0,5.0,3.0,Starter Motor Issue,2018-04-03,1,90.0,3.0,1
Ford,2018,7,blue,Hatchback,135000,1.6L,Manual,Petrol,400.0,5.0,5.0,Excessive Emissions,2018-07-12,1,20.36,1.0,0
BMW,2018,5,grey,SUV,50000,3.0L,Automatic,Diesel,16990.0,5.0,5.0,Starter Motor Issue,2018-05-13,1,229.9,3.0,0
Ford,2018,7,blue,Hatchback,100000,1.6L,Manual,Petrol,2390.0,5.0,5.0,Warning Light,2018-07-12,1,203.9,9.0,0
Vauxhall,2018,8,white,Hatchback,13050,1.4L,Manual,Petrol,8000.0,5.0,5.0,Windscreen Crack,2018-08-16,1,24.8,1.0,0
Peugeot,2018,4,black,Estate,91500,1.6L,Manual,Petrol,1325.0,5.0,5.0,Steering Wheel Shaking,2018-04-06,1,21.325,1.0,0
Lexus,2018,7,white,SUV,69000,3.5L,Automatic,Hybrid  Petrol/Electric,17000.0,5.0,5.0,Gear Box Issue,2018-07-01,1,210.0,2.0,0
Land Rover,2018,5,grey,Pickup,52416,2.2L,Manual,Diesel,27360.0,5.0,4.0,Radiator Leaking,2018-05-24,3,667.2,6.0,0
Audi,2018,7,white,Saloon,4000,2.0L,Automatic,Diesel,27950.0,5.0,4.0,Transmission Issue,2018-07-02,1,163.85,4.0,0
Vauxhall,2018,6,blue,Hatchback,130000,1.6L,Manual,Petrol,1495.0,5.0,3.0,Electrical Issue,2018-06-20,1,44.485,2.0,0
Nissan,2018,5,silver,SUV,43000,1.6L,Manual,Petrol,7991.0,5.0,5.0,Windscreen Crack,2018-05-25,1,24.7946,1.0,0
Vauxhall,2018,5,gelb,Hatchback,14000,1.0L,Manual,Petrol,7000.0,14.0,5.0,Sensor Malfunction,2018-05-11,1,410.0,3.0,1
BMW,2021,5,blue,Convertible,17435,3.0L,Automatic,Petrol,43850.0,4.0,2.0,Engine Issue,2021-05-25,1,6897.5,16.0,0
Land Rover,2018,5,gold,SUV,23852,4.4L,Automatic,Diesel,55000.0,5.0,5.0,Gear Box Issue,2018-05-22,3,670.0,6.0,0
Hyundai,2018,8,white,Hatchback,46500,1.4L,Manual,Petrol,6721.0,5.0,5.0,Excessive Emissions,2018-08-25,1,26.0489,1.0,0
Lexus,2018,2,orange,SUV,100,2.5L,Automatic,Hybrid  Petrol/Electric,34545.0,5.0,5.0,Radiator Leaking,2018-02-23,1,730.9,2.0,0
Audi,2018,8,silver,Convertible,130000,2.5L,Manual,Diesel,1500.0,4.0,2.0,Radiator Leaking,2018-08-14,1,70.0,2.0,0
Hyundai,2018,5,silver,MPV,35885,2.5L,Automatic,Diesel,13970.0,8.0,5.0,Electrical Issue,2018-05-18,1,37.94,0.5,0
Dacia,2018,3,gelb,Hatchback,58543,1.5L,Manual,Diesel,5999.0,5.0,5.0,Flat Tyres,2018-03-01,1,21.7997,1.0,1
Kia,2018,8,blue,Estate,39527,1.6L,Manual,Diesel,8875.0,5.0,5.0,Steering Wheel Shaking,2018-08-02,1,28.875,1.0,0
Porsche,2018,4,gelb,Hatchback,12900,4.8L,Automatic,Petrol,62995.0,4.0,5.0,Tyre Alignment,2018-04-18,3,36.2995,1.5,1
Ford,2021,5,blue,Hatchback,16167,1.0L,Manual,Petrol,12998.0,5.0,5.0,Alternator Failing,2021-05-17,1,299.96,2.0,0
Ford,2018,5,black,MPV,16221,1.0L,Manual,Petrol,12191.0,5.0,5.0,Flat Tyres,2018-05-21,1,23.6573,1.0,0
Alfa Romeo,2018,7,grey,Hatchback,25000,1.4L,Manual,Petrol,7890.0,5.0,5.0,Transmission Issue,2018-07-10,3,551.01,24.0,0
Smart,2018,8,red,Hatchback,50000,0.6L,Automatic,Petrol,450.0,11.0,3.0,Excessive Emissions,2018-08-21,1,20.405,1.0,1
Audi,2018,5,black,Convertible,34000,1.8L,Automatic,Petrol,28500.0,4.0,2.0,Steering Wheel Shaking,2018-05-24,1,48.5,1.0,0
Citroen,2018,7,blue,Hatchback,35813,1.6L,Manual,Diesel,6900.0,5.0,5.0,Flat Tyres,2018-07-17,2,226.909547845763,160.451763013425,1
Peugeot,2018,6,white,SUV,3333,1.2L,Manual,Petrol,13450.0,5.0,5.0,Radiator Leaking,2018-06-02,1,309.0,2.0,0
Land Rover,2018,4,blue,Panel Van,55130,3.0L,Automatic,Diesel,24995.0,20.0,5.0,Engine Issue,2018-04-08,3,1849.75,30.0,1
Mazda,2018,5,blue,Hatchback,2847,1.5L,Manual,Petrol,12500.0,5.0,5.0,Flat Tyres,2018-05-05,1,23.75,1.0,0
Vauxhall,2018,8,blue,SUV,10032,1.6L,Manual,Diesel,14799.0,5.0,5.0,Starter Motor Issue,2018-08-06,1,207.99,3.0,0
Ford,2018,8,blue,Pickup,51000,3.2L,Manual,Diesel,17940.0,5.0,4.0,Engine Issue,2018-08-18,1,3011.0,16.0,0
Ford,2018,4,black,Hatchback,65000,2.0L,Automatic,Diesel,8481.0,5.0,5.0,Warning Light,2018-04-16,1,264.81,9.0,0
Vauxhall,2018,5,black,SUV,4508,1.6L,Manual,Diesel,14650.0,5.0,5.0,Gear Box Issue,2018-05-18,1,186.5,2.0,0
Lexus,2018,3,black,Saloon,111966,2.2L,Manual,Diesel,1590.0,5.0,4.0,Electrical Issue,2018-03-05,1,76.3128616168493,41.1401951924859,1
Peugeot,2018,7,black,SUV,32552,1.2L,Manual,Petrol,7600.0,5.0,5.0,Alternator Failing,2018-07-20,1,192.0,2.0,0
Renault,2018,3,beige,Hatchback,40000,1.2L,Manual,Petrol,3695.0,5.0,3.0,Sensor Malfunction,2018-03-10,1,244.75,3.0,0
Audi,2018,4,silver,Hatchback,130000,2.0L,Manual,Petrol,3890.0,5.0,5.0,Sensor Malfunction,2018-04-23,1,254.5,3.0,0
Land Rover,2018,3,blue,SUV,44000,3.0L,Automatic,Diesel,48000.0,5.0,5.0,Radiator Leaking,2018-03-04,3,1080.0,6.0,0
MINI,2018,1,silver,Hatchback,98050,1.6L,Manual,Petrol,1599.0,4.0,3.0,Sensor Malfunction,2018-01-09,2,199.95,6.0,0
Volkswagen,2018,5,silver,Hatchback,108000,1.9L,Manual,Diesel,1489.0,5.0,5.0,Alternator Failing,2018-05-04,1,69.78,2.0,0
Toyota,2018,6,silver,Pickup,80000,3.0L,Automatic,Diesel,12490.0,18.0,4.0,Transmission Issue,2018-06-13,1,272.41,8.0,1
Ford,2018,5,red,SUV,14239,2.0L,Automatic,Diesel,25490.0,5.0,5.0,Warning Light,2018-05-06,1,434.9,9.0,0
BMW,2018,3,gelb,SUV,51000,3.0L,Automatic,Diesel,21999.0,4.0,5.0,Transmission Issue,2018-03-09,1,213.993,3.0,1
BMW,2018,7,blue,Hatchback,33828,1.6L,Manual,Diesel,9985.0,5.0,5.0,Excessive Emissions,2018-07-14,1,28.9865,1.0,0
Citroen,2018,4,beige,MPV,114000,1.6L,Automatic,Diesel,1650.0,7.0,5.0,Windscreen Crack,2018-04-13,2,40.99,2.0,0
Peugeot,2018,8,silver,Hatchback,10,1.2L,Manual,Petrol,12890.0,5.0,5.0,Transmission Issue,2018-08-26,1,118.67,4.0,0
Mitsubishi,2017,11,white,SUV,11384,3.2L,Automatic,Diesel,30995.0,7.0,5.0,Sensor Malfunction,2017-11-04,1,5149.27810818951,3.0,1
Ford,2018,5,blue,MPV,54608,1.6L,Manual,Diesel,7390.0,5.0,5.0,Flat Tyres,2018-05-26,1,22.217,1.0,0
Porsche,2018,8,red,Coupe,36221,2.7L,Automatic,Petrol,37903.0,2.0,2.0,Transmission Issue,2018-08-06,3,445.321,9.0,0
Mazda,2018,6,blue,Estate,24100,2.2L,Manual,Diesel,10290.0,18.0,5.0,Sensor Malfunction,2018-06-25,1,574.5,3.0,1
Fiat,2018,4,blue,Hatchback,50172,1.2L,Manual,Petrol,1900.0,4.0,5.0,Warning Light,2018-04-13,1,199.0,9.0,0
Ford,2018,8,silver,SUV,116513,2.0L,Manual,Diesel,4895.0,5.0,5.0,Alternator Failing,2018-08-02,1,137.9,2.0,0
Volkswagen,2018,6,gelb,Hatchback,111000,1.6L,Manual,Petrol,1395.0,4.0,3.0,Windscreen Crack,2018-06-17,1,20.837,1.0,1
Honda,2018,5,black,SUV,83000,2.0L,Automatic,Petrol,7000.0,5.0,5.0,Brake Pads Worn,2018-05-04,1,43.5,2.0,0
Peugeot,2018,5,silver,Hatchback,24755,1.6L,Manual,Diesel,9998.0,5.0,5.0,Transmission Issue,2018-05-15,1,249.982,8.0,0
Jaguar,2018,5,white,Saloon,98000,2.2L,Automatic,Diesel,9995.0,5.0,4.0,Radiator Leaking,2018-05-16,3,319.9,6.0,0
Volkswagen,2018,8,silver,Hatchback,46899,1.4L,Manual,Petrol,2499.0,4.0,3.0,Tyre Alignment,2018-08-08,1,10.2499,0.5,0
Dacia,2018,3,grey,Estate,2435,1.5L,Manual,Diesel,11495.0,5.0,5.0,Electrical Issue,2018-03-25,1,77.475,1.0,0
Peugeot,2018,4,brown,SUV,84109,1.6L,Manual,Diesel,4799.0,5.0,5.0,Engine Issue,2018-04-09,1,439.95,10.0,0
Volkswagen,2018,5,black,Hatchback,66000,1.9L,Automatic,Diesel,3499.0,5.0,5.0,Windscreen Crack,2018-05-02,1,22.0994,1.0,0
Volkswagen,2018,4,blue,Hatchback,2769,1.0L,Manual,Petrol,16270.0,5.0,5.0,Tyre Alignment,2018-04-05,1,11.627,0.5,0
Volkswagen,2018,7,green,Hatchback,73100,1.6L,Manual,Petrol,1495.0,5.0,5.0,Steering Wheel Shaking,2018-07-08,1,21.495,1.0,0
Mazda,2018,6,gelb,Hatchback,123000,1.6L,Manual,Petrol,1290.0,5.0,5.0,Flat Tyres,2018-06-23,1,20.387,1.0,1
Volkswagen,2018,2,blue,Coupe,123000,2.0L,Manual,Diesel,5495.0,4.0,3.0,Windscreen Crack,2018-02-19,1,23.297,1.0,0
Kia,2018,8,white,MPV,23374,1.4L,Manual,Petrol,8295.0,5.0,5.0,Alternator Failing,2018-08-26,1,205.9,2.0,0
Vauxhall,2018,4,white,Hatchback,44062,2.0L,Manual,Diesel,9670.0,5.0,5.0,Tyre Alignment,2018-04-21,1,10.967,0.5,0
Nissan,2018,8,grey,Pickup,54581,2.5L,Automatic,Diesel,13495.0,5.0,4.0,Gear Box Issue,2018-08-26,1,174.95,2.0,0
Vauxhall,2018,6,white,Combi Van,16000,1.6L,Manual,Diesel,23700.0,12.0,5.0,Electrical Issue,2018-06-27,1,357.182699600575,3.0,1
Ford,2018,6,red,Hatchback,12300,1.2L,Manual,Petrol,5995.0,4.0,3.0,Electrical Issue,2018-06-08,1,65.995,3.0,0
Volkswagen,2018,7,blue,Saloon,32484,2.0L,Automatic,Diesel,11000.0,5.0,4.0,Tyre Alignment,2018-07-16,1,11.1,0.5,0
Ford,2018,5,black,SUV,16398,2.0L,Automatic,Diesel,17500.0,5.0,5.0,Warning Light,2018-05-27,1,355.0,9.0,0
SKODA,2018,8,white,Hatchback,19232,1.0L,Manual,Petrol,6000.0,4.0,5.0,Starter Motor Issue,2018-08-27,1,120.0,3.0,0
Ford,2018,7,green,Hatchback,137000,1.8L,Manual,Petrol,450.0,5.0,5.0,Transmission Issue,2018-07-04,1,164.05,8.0,0
MINI,2018,8,silver,Hatchback,42000,1.6L,Manual,Diesel,7995.0,4.0,3.0,Warning Light,2018-08-24,2,2397.22509062986,1572.66213629949,1
Toyota,2018,3,blue,Hatchback,19212,1.5L,Automatic,Hybrid  Petrol/Electric,10164.0,5.0,5.0,Excessive Emissions,2018-03-16,1,29.1476,1.0,0
Suzuki,2018,4,silver,Hatchback,75000,1.1L,Manual,Petrol,1195.0,4.0,5.0,Excessive Emissions,2018-04-14,1,21.0755,1.0,0
Porsche,2017,3,silver,Coupe,74103,3.6L,Manual,Petrol,39000.0,4.0,2.0,Windscreen Crack,2017-03-04,3,83.4,3.0,0
Hyundai,2018,4,blue,SUV,16295,2.2L,Automatic,Diesel,23910.0,7.0,5.0,Transmission Issue,2018-04-20,1,375.19,8.0,0
Subaru,2018,6,white,Hatchback,1250,1.6L,Automatic,Petrol,20995.0,5.0,5.0,Alternator Failing,2018-06-20,3,3075.78703242874,1723.23843924095,1
Kia,2018,5,gelb,SUV,63900,2.5L,Manual,Diesel,6499.0,5.0,5.0,Tyre Alignment,2018-05-10,1,10.6499,0.5,1
Audi,2018,7,black,Hatchback,117000,2.0L,Manual,Petrol,3400.0,5.0,5.0,Warning Light,2018-07-10,1,214.0,9.0,0
Ford,2018,4,black,SUV,15392,1.5L,Manual,Diesel,11460.0,5.0,5.0,Sensor Malfunction,2018-04-10,1,633.0,3.0,0
BMW,2018,7,white,SUV,110000,2.0L,Manual,Diesel,6499.0,5.0,5.0,Radiator Leaking,2018-07-08,1,169.98,2.0,0
BMW,2018,7,orange,Hatchback,73091,2.0L,Manual,Diesel,7995.0,5.0,5.0,Windscreen Crack,2018-07-07,1,24.797,1.0,0
Porsche,2018,8,white,SUV,15450,3.0L,Automatic,Diesel,36990.0,5.0,5.0,Brake Pads Worn,2018-08-18,3,138.495,6.0,0
SKODA,2018,3,beige,Hatchback,45727,1.2L,Automatic,Petrol,6490.0,5.0,5.0,Warning Light,2018-03-15,1,244.9,9.0,0
Ford,2018,5,grey,Hatchback,83115,2.0L,Manual,Diesel,3298.0,5.0,5.0,Engine Issue,2018-05-09,1,1957.83917757232,1161.21873605873,1
Nissan,2021,4,white,SUV,8257,2.0L,Manual,Diesel,22995.0,5.0,5.0,Warning Light,2021-04-15,1,409.95,9.0,0
Vauxhall,2018,8,blue,Hatchback,75000,1.3L,Manual,Diesel,2575.0,5.0,5.0,Warning Light,2018-08-15,1,205.75,9.0,0
Volkswagen,2018,8,blue,Hatchback,82000,1.2L,Manual,Petrol,990.0,5.0,5.0,Warning Light,2018-08-23,1,189.9,9.0,0
Peugeot,2018,8,red,SUV,-3628,1.2L,Manual,Petrol,19010.0,5.0,5.0,Alternator Failing,2018-08-25,1,420.2,2.0,1
Vauxhall,2018,5,blue,Hatchback,8087,1.4L,Manual,Petrol,8450.0,5.0,5.0,Gear Box Issue,2018-05-15,1,124.5,2.0,0
Renault,2018,5,black,SUV,31242,1.5L,Manual,Diesel,8500.0,5.0,5.0,Transmission Issue,2018-05-24,1,236.5,8.0,0
Peugeot,2018,5,grey,SUV,103106,1.6L,Automatic,Diesel,4490.0,5.0,5.0,Electrical Issue,2018-05-28,1,18.98,0.5,0
Ford,2018,4,green,MPV,161000,2.0L,Manual,Diesel,1795.0,7.0,5.0,Flat Tyres,2018-04-27,1,20.5385,1.0,0
Ford,2018,7,blue,Hatchback,125000,1.8L,Manual,Petrol,695.0,5.0,5.0,Electrical Issue,2018-07-20,1,11.39,0.5,0
Toyota,2018,7,bronze,Hatchback,67031,1.5L,Automatic,Hybrid  Petrol/Electric,5000.0,5.0,5.0,Sensor Malfunction,2018-07-08,1,310.0,3.0,0
Vauxhall,2018,5,white,Hatchback,103000,1.8L,Manual,Petrol,2989.0,5.0,5.0,Gear Box Issue,2018-05-02,1,69.89,2.0,0
Land Rover,2018,7,black,SUV,98000,3.0L,Automatic,Diesel,16795.0,7.0,5.0,Starter Motor Issue,2018-07-22,3,347.95,9.0,0
Ford,2018,4,blue,SUV,43784,2.0L,Manual,Diesel,10347.0,5.0,5.0,Flat Tyres,2018-04-10,1,100.071482398654,70.7331977156093,1
Ford,2021,5,silver,Hatchback,12059,1.5L,Manual,Petrol,16999.0,5.0,3.0,Engine Issue,2021-05-28,1,3559.8,8.0,0
Audi,2018,6,black,Saloon,81700,2.0L,Manual,Diesel,6750.0,5.0,4.0,Tyre Alignment,2018-06-10,1,10.675,0.5,0
Volvo,2018,5,silver,Estate,65000,2.0L,Manual,Diesel,7789.0,5.0,5.0,Alternator Failing,2018-05-18,3,275.78,6.0,0
Mercedes-Benz,2018,1,blue,Coupe,72938,2.6L,Automatic,Petrol,3495.0,4.0,2.0,Engine Issue,2018-01-16,1,859.0,8.0,0
Smart,2018,5,silver,Hatchback,71000,1.3L,Automatic,Petrol,1790.0,4.0,5.0,Excessive Emissions,2018-05-17,1,21.611,1.0,0
Suzuki,2018,8,turquoise,SUV,33589,1.6L,Manual,Petrol,9891.0,5.0,5.0,Excessive Emissions,2018-08-12,1,28.9019,1.0,0
